ID_Pedido,Data_Pedido,ID_Cliente,Segmento,Regiao,Categoria,Produto,Valor_Venda,Quantidade,Desconto,Lucro
OD-1248,17/06/2025,CT-138,Consumidor,Sul,Eletrônicos,Carregador Rápido,437.36,7,0.05,51.39
OD-1412,2024-09-17,CT-167,Consumidor,Centro-Oeste,Material de Escritório,Papel A4 500fls,250.26,8,0.0,100.1
OD-1318,2025-06-08,CT-163,Corporativo,Nordeste,Eletrônicos,Notebook Pro,33586.53,10,0.0,5037.98
OD-1426,2025-02-22,CT-108,Consumidor,Sul,Vestuário,Calça Jeans Premium,1182.87,10,0.05,251.36
OD-1123,2024-08-04,CT-128,Consumidor,Sul,Eletrônicos,Carregador Rápido,123.29,2,,18.49
OD-1014,2024-06-15,CT-153,Consumidor,Norte,Material de Escritório,Caneta Gel 12un,73.27,4,0.15,19.42
OD-1159,2024-12-13,CT-213,Corporativo,Norte,Eletrônicos,Notebook Pro,25341.05,7,0.05,2977.57
OD-1001,2025-05-14,CT-193,Corporativo,Centro-Oeste,Eletrônicos,Smartphone X,4652.18,4,0.1,395.44
OD-1321,2025-08-02,CT-158,Corporativo,Centro-Oeste,Material de Escritório,Caderno Universitário,81.17,3,0.0,32.47
OD-1271,2024-12-02,CT-137,Consumidor,Centro-Oeste,Vestuário,Calça Jeans Premium,746.23,6,0.15,102.61
OD-1355,2025-05-17,CT-217,Consumidor,Centro-Oeste,Material de Escritório,Caderno Universitário,196.01,8,,78.4
OD-1149,2024-01-01,CT-196,Home Office,Sudeste,Eletrônicos,Fone Bluetooth,1243.45,9,0.1,
OD-1050,21/07/2024,CT-150,Consumidor,Norte,Material de Escritório,Organizador de Mesa,380.35,9,0.0,152.14
OD-1370,2024-08-10,CT-189,Corporativo,Nordeste,Eletrônicos,Notebook Pro,29183.41,9,0.2,583.67
OD-1186,2025-02-25,CT-248,Corporativo,Centro-Oeste,Móveis,Luminária LED,144.51,2,0.1,18.79
OD-1067,2025-07-19,CT-211,Consumidor,Centro-Oeste,Material de Escritório,Organizador de Mesa,378.8,9,0.0,
OD-1282,2025-12-26,CT-154,Consumidor,Nordeste,Eletrônicos,Monitor 4K,3316.23,2,0.0,497.43
OD-1345,2025-03-18,CT-224,Home Office,Nordeste,Eletrônicos,Smartphone X,5151.77,4,0.0,772.77
OD-1444,2024-08-16,CT-213,Consumidor,Centro-Oeste, Material de Escritório ,Caneta Gel 12un,56.52,3,0.2,12.43
OD-1410,2025-11-20,CT-201,Corporativo,Norte,Material de Escritório,Caderno Universitário,74.81,3,0.0,29.92
OD-1305,2024-07-10,CT-120,Consumidor,Norte,Material de Escritório,Caneta Gel 12un,186.92,10,0.0,74.77
OD-1101,2025-06-30,CT-231,Corporativo,Nordeste,Material de Escritório,Caneta Gel 12un,117.66,7,0.0,47.06
OD-1310,"Feb 08, 2024",CT-215,Corporativo,Sudeste,Material de Escritório,Papel A4 500fls,130.93,4,0.05,46.48
OD-1012,2025-03-20,CT-204,Consumidor,Sul,Móveis,Luminária LED,522.31,7,0.0,104.46
OD-1027,2025-10-21,CT-208,Home Office,Norte,Material de Escritório,Papel A4 500fls,150.26,5,0.0,60.1
OD-1375,2024-03-15,CT-122,Consumidor,Nordeste,Eletrônicos,Notebook Pro,3656.82,1,0.15,191.98
OD-1003,25/05/2025,CT-207,Corporativo,Nordeste,Vestuário,Tênis Casual,647.55,3,0.05,137.6
OD-1034,2024-07-08,CT-173,Corporativo,Centro-Oeste, Eletrônicos ,Monitor 4K,12717.68,7,0.0,1907.65
OD-1178,2026-02-05,CT-198,Corporativo,Sudeste, Móveis ,Mesa de Escritório,5497.67,9,0.0,1099.53
OD-1317,2024-05-24,CT-151,Corporativo,Norte,Vestuário,Tênis Casual,1722.43,9,0.0,430.61
OD-1096,2025-12-24,CT-137,Consumidor,Sul,Móveis,Estante de Livros,2237.86,6,0.0,447.57
OD-1446,2026-03-08,CT-123,Home Office,Centro-Oeste,Eletrônicos,Notebook Pro,6819.36,2,0.1,579.65
OD-1094,2024-05-24,CT-148,Home Office,Nordeste,Material de Escritório,Caneta Gel 12un,116.67,7,0.05,
OD-1210,2025-02-04,CT-240,Home Office,Norte,Vestuário,Calça Jeans Premium,492.69,4,0.0,123.17
OD-1059,2024-02-16,CT-246,Corporativo,Sul, Eletrônicos ,Monitor 4K,6983.57,4,0.1,593.6
OD-1167,2024-04-27,CT-247,Corporativo,Norte,Vestuário,Tênis Casual,415.86,2,0.0,103.96
OD-1028,2025-04-20,CT-155,Home Office,Nordeste,Eletrônicos,Carregador Rápido,111.99,2,0.05,13.16
OD-1314,2025-04-18,CT-166,Consumidor,Sudeste,Móveis,Estante de Livros,1298.64,4,0.0,259.73
OD-1213,2025-05-22,CT-199,Corporativo,Centro-Oeste,Móveis,Cadeira Ergonômica,863.42,2,0.05,142.46
OD-1367,2024-02-09,CT-226,Corporativo,Nordeste,Material de Escritório,Organizador de Mesa,220.23,6,0.0,88.09
OD-1024,2024-08-07,CT-159,Consumidor,Norte,Material de Escritório,Caderno Universitário,73.33,3,0.0,29.33
OD-1208,2024-05-17,CT-229,Consumidor,Norte,Eletrônicos,Monitor 4K,1686.83,1,0.05,198.2
OD-1023,2026-01-23,CT-149,Home Office,Norte,Móveis,Mesa de Escritório,5202.57,9,0.15,494.24
OD-1240,2025-09-25,CT-236,Corporativo,Norte,Eletrônicos,Notebook Pro,6326.8,2,0.1,537.78
OD-1255,2024-02-15,CT-130,Corporativo,Nordeste,Eletrônicos,Smartphone X,11681.74,10,0.0,1752.26
OD-1020,2025-03-26,CT-158,Consumidor,Sul,Eletrônicos,Notebook Pro,7164.99,2,0.15,
OD-1035,19/05/2025,CT-118,Corporativo,Sul,Móveis,Luminária LED,237.25,3,0.0,
OD-1177,2025-09-15,CT-216,Corporativo,Sul, Vestuário ,Jaqueta Corta-Vento,669.83,4,0.15,92.1
OD-1000,2024-12-07,CT-203,Consumidor,Nordeste, Eletrônicos ,Notebook Pro,33768.77,9,,5065.32
OD-1270,2025-07-26,CT-224,Consumidor,Sudeste,Vestuário,Tênis Casual,1125.75,6,0.0,281.44
OD-1477,2024-04-13,CT-157,Corporativo,Nordeste,Vestuário,Camiseta Algodão,419.33,8,0.05,89.11
OD-1298,2024-12-28,CT-199,Home Office,Centro-Oeste,Eletrônicos,Carregador Rápido,221.86,4,0.0,33.28
OD-1171,2024-02-23,CT-168,Consumidor,Norte,Vestuário,Camiseta Algodão,341.02,7,0.0,85.26
OD-1141,07/11/2025,CT-216,Corporativo,Centro-Oeste,Eletrônicos,Carregador Rápido,109.75,2,0.0,16.46
OD-1453,2025-02-13,CT-184,Consumidor,Sul,Material de Escritório,Papel A4 500fls,191.7,6,0.2,42.17
OD-1047,2024-05-28,CT-108,Consumidor,Sudeste,Vestuário,Tênis Casual,924.35,5,0.0,231.09
OD-1404,2024-11-15,CT-102,Corporativo,Centro-Oeste,Material de Escritório,Caneta Gel 12un,151.77,8,0.2,33.39
OD-1109,2026-03-08,CT-190,Consumidor,Sudeste,Móveis,Luminária LED,227.4,3,0.05,37.52
OD-1071,2024-01-12,CT-141,Corporativo,Norte,Material de Escritório,Caneta Gel 12un,106.11,6,,42.44
OD-1299,2026-01-20,CT-150,Home Office,Sul,Material de Escritório,Papel A4 500fls,149.0,5,0.1,46.19
OD-1337,"Jul 07, 2025",CT-194,Consumidor,Sul,Material de Escritório,Papel A4 500fls,127.35,4,,50.94
OD-1093,2025-05-16,CT-133,Consumidor,Sudeste,Móveis,Mesa de Escritório,4592.39,7,0.0,918.48
OD-1349,2024-10-15,CT-220,Consumidor,Centro-Oeste, Material de Escritório ,Caneta Gel 12un,104.34,6,0.1,32.35
OD-1290,"Oct 27, 2025",CT-227,Consumidor,Norte,Móveis,Cadeira Ergonômica,3541.06,8,0.1,460.34
OD-1081,2024-12-13,CT-163,Consumidor,Centro-Oeste,Eletrônicos,Carregador Rápido,129.75,2,0.0,19.46
OD-1449,2024-06-13,CT-130,Consumidor,Sul,Eletrônicos,Carregador Rápido,410.66,7,0.0,61.6
OD-1192,2026-03-08,CT-152,Consumidor,Centro-Oeste, Material de Escritório ,Caneta Gel 12un,18.51,1,0.05,6.57
OD-1360,2024-12-15,CT-240,Consumidor,Sudeste,Eletrônicos,Smartphone X,12180.15,10,0.0,1827.02
OD-1284,18/04/2025,CT-167,Consumidor,Norte,Eletrônicos,Fone Bluetooth,323.17,2,0.15,16.97
OD-1269,2024-02-17,CT-199,Consumidor,Centro-Oeste,Eletrônicos,Smartphone X,11153.21,9,0.0,1672.98
OD-1489,2025-10-30,CT-245,Home Office,Centro-Oeste,Eletrônicos,Monitor 4K,11888.73,7,0.0,1783.31
OD-1227,2024-07-01,CT-193,Consumidor,Sul,Vestuário,Calça Jeans Premium,703.61,6,0.05,149.52
OD-1274,2024-01-08,CT-146,Home Office,Norte,Eletrônicos,Fone Bluetooth,685.09,5,0.05,
OD-1377,2025-10-07,CT-176,Consumidor,Sul,Eletrônicos,Smartphone X,6971.39,6,0.0,1045.71
OD-1313,2024-03-26,CT-198,Consumidor,Norte,Eletrônicos,Carregador Rápido,243.16,4,0.05,28.57
OD-1153,10/02/2026,CT-112,Consumidor,Nordeste,Móveis,Cadeira Ergonômica,4311.88,9,0.1,560.54
OD-1413,2025-10-11,CT-165,Home Office,Sul,Vestuário,Calça Jeans Premium,727.61,6,0.1,127.33
OD-1434,2025-04-03,CT-175,Home Office,Sul,Eletrônicos,Carregador Rápido,391.31,7,0.0,58.7
OD-1031,01/01/2024,CT-151,Corporativo,Nordeste,Vestuário,Camiseta Algodão,359.66,7,0.05,76.43
OD-1351,2025-10-23,CT-119,Consumidor,Norte,Eletrônicos,Smartphone X,2611.91,2,0.0,391.79
OD-1473,2024-05-24,CT-125,Corporativo,Sul,Vestuário,Calça Jeans Premium,1217.46,10,0.0,304.36
OD-1184,10/03/2025,CT-193,Consumidor,Sul,Material de Escritório,Caderno Universitário,187.27,7,,74.91
OD-1332,2025-09-14,CT-105,Consumidor,Sul,Eletrônicos,Fone Bluetooth,542.89,4,0.0,81.43
OD-1386,2024-01-26,CT-139,Consumidor,Norte,Móveis,Mesa de Escritório,600.4,1,0.1,78.05
OD-1130,2025-05-25,CT-208,Consumidor,Sudeste,Eletrônicos,Carregador Rápido,193.69,3,0.05,22.76
OD-1312,2024-08-18,CT-192,Corporativo,Norte,Eletrônicos,Carregador Rápido,246.96,4,0.0,37.04
OD-1211,2024-11-25,CT-137,Corporativo,Nordeste,Móveis,Mesa de Escritório,3942.84,7,0.15,374.57
OD-1116,2024-05-25,CT-232,Home Office,Sudeste, Material de Escritório ,Caderno Universitário,103.73,4,0.0,41.49
OD-1044,2025-11-15,CT-184,Corporativo,Centro-Oeste,Vestuário,Calça Jeans Premium,1200.28,10,0.0,300.07
OD-1017,2025-06-14,CT-138,Corporativo,Centro-Oeste,Vestuário,Camiseta Algodão,489.74,10,0.0,
OD-1156,02/05/2025,CT-231,Home Office,Norte,Material de Escritório,Caneta Gel 12un,189.73,10,0.1,58.82
OD-1226,2025-10-24,CT-199,Consumidor,Sul,Eletrônicos,Carregador Rápido,57.1,1,0.05,6.71
OD-1302,2025-05-20,CT-235,Consumidor,Nordeste,Eletrônicos,Fone Bluetooth,965.9,7,0.05,113.49
OD-1058,2025-02-05,CT-154,Home Office,Norte,Material de Escritório,Papel A4 500fls,232.53,8,0.0,93.01
OD-1016,2025-12-14,CT-188,Home Office,Sudeste,Eletrônicos,Notebook Pro,19028.12,5,0.0,2854.22
OD-1029,2025-03-31,CT-164,Consumidor,Centro-Oeste,Vestuário,Jaqueta Corta-Vento,352.79,2,0.2,35.28
OD-1419,16/11/2024,CT-112,Consumidor,Sul, Eletrônicos ,Notebook Pro,31798.15,9,,4769.72
OD-1181,2024-08-16,CT-197,Consumidor,Norte,Vestuário,Tênis Casual,1221.75,6,,305.44
OD-1458,2024-02-11,CT-200,Consumidor,Centro-Oeste,Eletrônicos,Notebook Pro,6761.13,2,0.05,794.43
OD-1133,01/06/2025,CT-130,Corporativo,Centro-Oeste,Vestuário,Tênis Casual,858.17,4,0.05,182.36
OD-1347,2026-01-10,CT-247,Consumidor,Norte,Eletrônicos,Monitor 4K,15905.44,9,0.0,2385.82
OD-1436,2025-08-10,CT-121,Consumidor,Sul, Eletrônicos ,Monitor 4K,3486.98,2,0.2,69.74
OD-1002,2025-10-18,CT-115,Consumidor,Centro-Oeste,Material de Escritório,Caneta Gel 12un,176.29,10,0.0,70.52
OD-1060,2024-08-20,CT-144,Consumidor,Centro-Oeste, Eletrônicos ,Notebook Pro,3356.81,1,0.1,285.33
OD-1296,14/09/2025,CT-139,Corporativo,Centro-Oeste,Móveis,Estante de Livros,990.41,3,0.0,198.08
OD-1399,2024-05-19,CT-169,Consumidor,Centro-Oeste,Material de Escritório,Caneta Gel 12un,78.35,4,0.05,27.81
OD-1344,2026-01-07,CT-214,Corporativo,Nordeste,Vestuário,Camiseta Algodão,357.86,7,0.0,89.46
OD-1470,2025-07-28,CT-169,Consumidor,Norte, Eletrônicos ,Monitor 4K,15963.14,9,0.0,2394.47
OD-1346,2024-11-10,CT-206,Corporativo,Centro-Oeste,Móveis,Cadeira Ergonômica,2461.96,6,0.05,406.22
OD-1202,2026-01-28,CT-244,Corporativo,Sudeste,Material de Escritório,Organizador de Mesa,325.14,9,0.0,130.06
OD-1342,2024-10-08,CT-244,Consumidor,Sudeste,Eletrônicos,Monitor 4K,6737.81,4,0.1,572.71
OD-1246,2025-08-26,CT-219,Consumidor,Centro-Oeste, Móveis ,Estante de Livros,1760.46,5,0.2,105.63
OD-1168,"Feb 09, 2026",CT-226,Corporativo,Sudeste,Móveis,Mesa de Escritório,4436.33,7,0.2,266.18
OD-1325,2024-04-18,CT-115,Home Office,Sul,Móveis,Estante de Livros,2522.9,7,0.2,151.37
OD-1491,2025-04-22,CT-241,Consumidor,Sul,Material de Escritório,Organizador de Mesa,164.06,4,0.0,65.62
OD-1405,2025-07-03,CT-228,Consumidor,Sul, Material de Escritório ,Papel A4 500fls,136.08,4,0.05,48.31
OD-1237,2024-04-02,CT-148,Home Office,Nordeste,Eletrônicos,Fone Bluetooth,290.51,2,0.05,34.13
OD-1382,2025-03-16,CT-147,Home Office,Sul,Material de Escritório,Caderno Universitário,192.28,7,0.0,76.91
OD-1286,18/03/2024,CT-124,Home Office,Centro-Oeste, Material de Escritório ,Papel A4 500fls,134.86,4,0.05,47.88
OD-1074,2026-02-22,CT-165,Home Office,Nordeste,Material de Escritório,Organizador de Mesa,147.92,4,0.1,45.86
OD-1475,2025-05-17,CT-153,Corporativo,Sul,Móveis,Estante de Livros,3557.7,10,0.0,711.54
OD-1291,2025-06-09,CT-230,Consumidor,Nordeste,Móveis,Cadeira Ergonômica,1740.82,4,0.0,348.16
OD-1420,2024-11-14,CT-195,Corporativo,Centro-Oeste,Eletrônicos,Notebook Pro,6322.44,2,0.2,126.45
OD-1471,2024-05-22,CT-199,Consumidor,Sudeste,Móveis,Cadeira Ergonômica,1344.02,3,0.0,268.8
OD-1197,2024-09-05,CT-229,Consumidor,Sudeste,Vestuário,Calça Jeans Premium,455.95,4,0.0,113.99
OD-1336,2025-08-17,CT-216,Consumidor,Nordeste,Móveis,Luminária LED,752.37,10,,150.47
OD-1278,2025-12-19,CT-167,Consumidor,Sudeste, Eletrônicos ,Notebook Pro,21275.89,6,0.0,3191.38
OD-1045,2025-11-02,CT-192,Home Office,Centro-Oeste,Material de Escritório,Caneta Gel 12un,156.25,9,0.0,62.5
OD-1276,2024-09-09,CT-199,Consumidor,Sul,Eletrônicos,Monitor 4K,11631.57,7,0.0,1744.74
OD-1421,04/09/2025,CT-146,Home Office,Centro-Oeste,Eletrônicos,Notebook Pro,24900.44,7,0.1,2116.54
OD-1328,2024-08-15,CT-108,Consumidor,Centro-Oeste,Material de Escritório,Caderno Universitário,69.77,3,0.0,27.91
OD-1264,2024-08-01,CT-149,Corporativo,Nordeste,Eletrônicos,Fone Bluetooth,154.6,1,0.0,23.19
OD-1147,2024-03-18,CT-159,Corporativo,Nordeste,Material de Escritório,Papel A4 500fls,103.87,3,0.0,41.55
OD-1069,2025-10-17,CT-124,Corporativo,Centro-Oeste,Material de Escritório,Papel A4 500fls,115.33,4,,46.13
OD-1464,"Jun 09, 2025",CT-228,Consumidor,Sul, Material de Escritório ,Caneta Gel 12un,177.55,10,0.2,39.06
OD-1187,2025-12-04,CT-247,Consumidor,Nordeste,Material de Escritório,Organizador de Mesa,124.95,3,0.05,44.36
OD-1319,30/07/2024,CT-225,Corporativo,Nordeste,Vestuário,Tênis Casual,1918.27,10,0.15,263.76
OD-1137,2026-02-09,CT-229,Corporativo,Centro-Oeste,Material de Escritório,Caneta Gel 12un,34.8,2,0.1,10.79
OD-1326,25/05/2024,CT-154,Home Office,Sudeste,Material de Escritório,Caneta Gel 12un,16.79,1,,6.72
OD-1183,15/03/2024,CT-170,Corporativo,Sudeste,Eletrônicos,Smartphone X,3505.88,3,0.15,184.06
OD-1316,2025-06-20,CT-186,Consumidor,Nordeste,Vestuário,Jaqueta Corta-Vento,557.99,3,0.0,139.5
OD-1173,23/01/2025,CT-245,Consumidor,Sul,Vestuário,Jaqueta Corta-Vento,1470.61,9,0.0,367.65
OD-1424,2026-02-15,CT-181,Consumidor,Norte,Móveis,Cadeira Ergonômica,1921.9,4,0.1,
OD-1409,2025-11-03,CT-133,Consumidor,Centro-Oeste,Eletrônicos,Fone Bluetooth,1399.88,10,0.0,209.98
OD-1143,2025-04-02,CT-203,Consumidor,Sul,Móveis,Mesa de Escritório,6385.72,10,0.05,1053.64
OD-1385,26/01/2025,CT-185,Home Office,Norte,Vestuário,Tênis Casual,1401.04,7,0.15,192.64
OD-1333,2026-02-14,CT-203,Consumidor,Nordeste,Móveis,Mesa de Escritório,5929.38,10,0.0,1185.88
OD-1498,2025-02-14,CT-236,Corporativo,Nordeste,Material de Escritório,Caderno Universitário,189.36,7,0.0,
OD-1483,2024-06-27,CT-233,Consumidor,Nordeste,Eletrônicos,Notebook Pro,26534.92,7,0.0,3980.24
OD-1369,2025-07-01,CT-148,Corporativo,Sudeste,Móveis,Estante de Livros,2597.98,8,0.05,428.67
OD-1145,2024-05-24,CT-162,Corporativo,Sudeste,Vestuário,Camiseta Algodão,50.11,1,0.0,12.53
OD-1273,2024-09-13,CT-193,Corporativo,Centro-Oeste,Material de Escritório,Caneta Gel 12un,16.5,1,0.0,6.6
OD-1435,2024-05-16,CT-220,Home Office,Norte,Móveis,Cadeira Ergonômica,841.62,2,0.05,138.87
OD-1095,2024-07-19,CT-162,Corporativo,Norte,Vestuário,Calça Jeans Premium,1148.92,9,0.05,244.15
OD-1388,2024-06-21,CT-133,Home Office,Nordeste, Móveis ,Cadeira Ergonômica,4216.82,9,0.05,695.78
OD-1343,2024-11-15,CT-113,Consumidor,Sudeste,Móveis,Luminária LED,591.63,7,0.2,35.5
OD-1490,2024-10-15,CT-107,Home Office,Sudeste,Móveis,Cadeira Ergonômica,427.76,1,0.0,85.55
OD-1072,25/11/2024,CT-115,Consumidor,Centro-Oeste,Móveis,Estante de Livros,958.62,3,0.05,158.17
OD-1324,"Aug 20, 2024",CT-170,Consumidor,Centro-Oeste,Material de Escritório,Papel A4 500fls,280.87,8,0.0,112.35
OD-1193,2024-11-30,CT-228,Home Office,Sul,Móveis,Estante de Livros,3790.31,10,0.0,758.06
OD-1075,2024-12-23,CT-189,Corporativo,Norte,Eletrônicos,Fone Bluetooth,147.64,1,0.05,17.35
OD-1043,09/07/2025,CT-230,Corporativo,Nordeste,Móveis,Cadeira Ergonômica,1322.19,3,0.0,264.44
OD-1158,03/02/2024,CT-201,Corporativo,Sudeste,Vestuário,Camiseta Algodão,369.63,7,0.0,92.41
OD-1266,2024-02-25,CT-146,Consumidor,Nordeste,Material de Escritório,Caneta Gel 12un,16.52,1,0.2,3.63
OD-1480,2025-10-07,CT-142,Consumidor,Norte,Eletrônicos,Smartphone X,5235.78,4,0.0,785.37
OD-1441,2025-07-25,CT-196,Consumidor,Sudeste,Móveis,Luminária LED,255.39,3,0.0,51.08
OD-1259,"Mar 13, 2024",CT-161,Home Office,Sul,Material de Escritório,Caneta Gel 12un,33.63,2,0.0,13.45
OD-1180,2024-07-25,CT-244,Consumidor,Sul,Material de Escritório,Caderno Universitário,130.32,5,0.1,40.4
OD-1330,2025-04-14,CT-160,Home Office,Sul,Vestuário,Calça Jeans Premium,751.98,6,0.0,188.0
OD-1372,17/11/2024,CT-229,Consumidor,Sudeste,Eletrônicos,Fone Bluetooth,774.47,5,0.05,91.0
OD-1207,07/03/2026,CT-102,Corporativo,Norte,Material de Escritório,Caneta Gel 12un,97.81,6,0.0,39.12
OD-1119,2024-06-25,CT-136,Consumidor,Sul,Material de Escritório,Caderno Universitário,25.97,1,0.05,9.22
OD-1018,2024-02-08,CT-230,Consumidor,Nordeste,Móveis,Luminária LED,154.96,2,0.05,25.57
OD-1438,2025-05-27,CT-201,Consumidor,Centro-Oeste, Eletrônicos ,Monitor 4K,14193.65,8,0.0,
OD-1015,2024-03-31,CT-102,Corporativo,Norte,Móveis,Luminária LED,85.51,1,0.1,11.12
OD-1398,2024-04-22,CT-101,Consumidor,Sudeste,Eletrônicos,Monitor 4K,18192.81,10,0.0,2728.92
OD-1396,2024-08-12,CT-247,Corporativo,Sudeste,Eletrônicos,Monitor 4K,17464.37,9,,2619.66
OD-1445,"Sep 26, 2024",CT-113,Consumidor,Sudeste,Material de Escritório,Caderno Universitário,113.94,5,,45.58
OD-1063,2024-05-22,CT-148,Consumidor,Sul,Móveis,Estante de Livros,2004.99,6,0.15,190.47
OD-1315,05/05/2024,CT-132,Home Office,Nordeste, Móveis ,Estante de Livros,337.4,1,0.0,67.48
OD-1124,2026-03-05,CT-166,Corporativo,Centro-Oeste,Móveis,Cadeira Ergonômica,3951.39,8,0.0,790.28
OD-1064,2025-02-18,CT-115,Home Office,Sudeste,Eletrônicos,Notebook Pro,31777.3,9,0.05,3733.83
OD-1150,2024-02-20,CT-213,Home Office,Nordeste,Móveis,Estante de Livros,718.82,2,,143.76
OD-1214,2024-03-09,CT-247,Consumidor,Centro-Oeste,Material de Escritório,Caneta Gel 12un,51.0,3,0.05,18.1
OD-1364,2026-01-28,CT-101,Consumidor,Norte,Material de Escritório,Papel A4 500fls,262.3,9,0.05,93.12
OD-1215,2025-06-29,CT-148,Consumidor,Centro-Oeste,Eletrônicos,Fone Bluetooth,1227.91,8,0.05,144.28
OD-1244,2024-01-05,CT-133,Corporativo,Sudeste, Vestuário ,Calça Jeans Premium,1044.63,8,0.1,182.81
OD-1392,2025-02-13,CT-169,Consumidor,Sul,Material de Escritório,Papel A4 500fls,299.53,10,0.0,119.81
OD-1496,2025-03-16,CT-129,Consumidor,Norte,Eletrônicos,Notebook Pro,17310.6,5,0.1,1471.4
OD-1080,2024-05-01,CT-236,Consumidor,Centro-Oeste,Eletrônicos,Carregador Rápido,525.58,8,0.0,78.84
OD-1253,2025-06-07,CT-127,Corporativo,Sudeste,Vestuário,Calça Jeans Premium,1288.71,10,0.0,322.18
OD-1242,2025-02-06,CT-245,Corporativo,Nordeste, Material de Escritório ,Organizador de Mesa,249.73,6,0.0,99.89
OD-1051,2026-02-02,CT-204,Home Office,Centro-Oeste,Material de Escritório,Papel A4 500fls,119.65,4,0.05,42.48
OD-1208,2024-05-17,CT-229,Consumidor,Norte,Eletrônicos,Monitor 4K,1686.83,1,0.05,198.2
OD-1329,2024-04-20,CT-153,Corporativo,Nordeste,Vestuário,Tênis Casual,410.41,2,0.1,71.82
OD-1125,2025-11-19,CT-145,Corporativo,Norte, Móveis ,Luminária LED,294.36,4,0.0,58.87
OD-1085,2025-11-28,CT-133,Home Office,Sul,Material de Escritório,Caderno Universitário,238.13,9,0.05,84.54
OD-1415,2024-01-13,CT-143,Consumidor,Sul,Eletrônicos,Carregador Rápido,595.95,10,0.1,50.66
OD-1036,2024-07-09,CT-232,Corporativo,Sul,Móveis,Estante de Livros,2583.59,7,0.0,516.72
OD-1166,2025-03-13,CT-229,Home Office,Sudeste,Vestuário,Jaqueta Corta-Vento,888.66,5,,222.16
OD-1425,2025-07-03,CT-190,Consumidor,Centro-Oeste,Móveis,Cadeira Ergonômica,2435.95,5,0.0,487.19
OD-1268,2024-04-16,CT-106,Consumidor,Sudeste,Material de Escritório,Caneta Gel 12un,185.31,10,0.0,74.12
OD-1066,2025-01-07,CT-182,Home Office,Nordeste,Eletrônicos,Carregador Rápido,448.62,7,0.1,38.13
OD-1165,2025-11-04,CT-187,Home Office,Nordeste,Móveis,Estante de Livros,749.53,2,0.0,149.91
OD-1070,2025-04-15,CT-224,Corporativo,Nordeste,Eletrônicos,Smartphone X,8350.14,7,0.05,981.14
OD-1046,"Jun 21, 2024",CT-211,Home Office,Sudeste,Vestuário,Calça Jeans Premium,693.18,6,0.05,147.3
OD-1098,2026-01-01,CT-204,Consumidor,Nordeste,Material de Escritório,Papel A4 500fls,87.0,3,0.1,26.97
OD-1484,07/07/2025,CT-175,Consumidor,Centro-Oeste,Material de Escritório,Organizador de Mesa,82.94,2,0.0,33.18
